plane,angle,orientation,neck_C,head_A
Y-Z,31.5,RIGHT-UP,253.6187,45.1478
Y-Z,31.5,LEFT-UP,106.3813,314.8522
Y-Z,32.0,LEFT-DOWN,73.3368,45.8854
Y-Z,32.0,RIGHT-DOWN,286.6632,314.1146
Y-Z,32.0,RIGHT-UP,253.3368,45.8854
Y-Z,32.0,LEFT-UP,106.6632,314.1146
Y-Z,32.5,LEFT-DOWN,73.0538,46.624
Y-Z,32.5,RIGHT-DOWN,286.9462,313.376
Y-Z,32.5,RIGHT-UP,253.0538,46.624
Y-Z,32.5,LEFT-UP,106.9462,313.376
Y-Z,33.0,LEFT-DOWN,72.7697,47.3638
Y-Z,33.0,RIGHT-DOWN,287.2303,312.6362
Y-Z,33.0,RIGHT-UP,252.7697,47.3638
Y-Z,33.0,LEFT-UP,107.2303,312.6362
Y-Z,33.5,LEFT-DOWN,72.4844,48.1047
Y-Z,33.5,RIGHT-DOWN,287.5156,311.8953
Y-Z,33.5,RIGHT-UP,252.4844,48.1047
Y-Z,33.5,LEFT-UP,107.5156,311.8953
Y-Z,34.0,LEFT-DOWN,72.1979,48.8468
Y-Z,34.0,RIGHT-DOWN,287.8021,311.1532
Y-Z,34.0,RIGHT-UP,252.1979,48.8468
Y-Z,34.0,LEFT-UP,107.8021,311.1532
Y-Z,34.5,LEFT-DOWN,71.9101,49.59
Y-Z,34.5,RIGHT-DOWN,288.0899,310.41
Y-Z,34.5,RIGHT-UP,251.9101,49.59
Y-Z,34.5,LEFT-UP,108.0899,310.41
Y-Z,35.0,LEFT-DOWN,71.6211,50.3345
Y-Z,35.0,RIGHT-DOWN,288.3789,309.6655
Y-Z,35.0,RIGHT-UP,251.6211,50.3345
Y-Z,35.0,LEFT-UP,108.3789,309.6655
Y-Z,35.5,LEFT-DOWN,71.3309,51.0803
Y-Z,35.5,RIGHT-DOWN,288.6691,308.9197
Y-Z,35.5,RIGHT-UP,251.3309,51.0803
Y-Z,35.5,LEFT-UP,108.6691,308.9197
Y-Z,36.0,LEFT-DOWN,71.0393,51.8273
Y-Z,36.0,RIGHT-DOWN,288.9607,308.1727
Y-Z,36.0,RIGHT-UP,251.0393,51.8273
Y-Z,36.0,LEFT-UP,108.9607,308.1727
Y-Z,36.5,LEFT-DOWN,70.7464,52.5756
Y-Z,36.5,RIGHT-DOWN,289.2536,307.4244
Y-Z,36.5,RIGHT-UP,250.7464,52.5756
Y-Z,36.5,LEFT-UP,109.2536,307.4244
Y-Z,37.0,LEFT-DOWN,70.4521,53.3253
Y-Z,37.0,RIGHT-DOWN,289.5479,306.6747
Y-Z,37.0,RIGHT-UP,250.4521,53.3253
Y-Z,37.0,LEFT-UP,109.5479,306.6747
Y-Z,37.5,LEFT-DOWN,70.1564,54.0763
Y-Z,37.5,RIGHT-DOWN,289.8436,305.9237
Y-Z,37.5,RIGHT-UP,250.1564,54.0763
Y-Z,37.5,LEFT-UP,109.8436,305.9237
Y-Z,38.0,LEFT-DOWN,69.8592,54.8288
Y-Z,38.0,RIGHT-DOWN,290.1408,305.1712
Y-Z,38.0,RIGHT-UP,249.8592,54.8288
Y-Z,38.0,LEFT-UP,110.1408,305.1712
Y-Z,38.5,LEFT-DOWN,69.5607,55.5827
Y-Z,38.5,RIGHT-DOWN,290.4393,304.4173
Y-Z,38.5,RIGHT-UP,249.5607,55.5827
Y-Z,38.5,LEFT-UP,110.4393,304.4173
Y-Z,39.0,LEFT-DOWN,69.2606,56.338
Y-Z,39.0,RIGHT-DOWN,290.7394,303.662
Y-Z,39.0,RIGHT-UP,249.2606,56.338
Y-Z,39.0,LEFT-UP,110.7394,303.662
Y-Z,39.5,LEFT-DOWN,68.959,57.0949
Y-Z,39.5,RIGHT-DOWN,291.041,302.9051
Y-Z,39.5,RIGHT-UP,248.959,57.0949
Y-Z,39.5,LEFT-UP,111.041,302.9051
Y-Z,40.0,LEFT-DOWN,68.6558,57.8533
Y-Z,40.0,RIGHT-DOWN,291.3442,302.1467
Y-Z,40.0,RIGHT-UP,248.6558,57.8533
Y-Z,40.0,LEFT-UP,111.3442,302.1467
Y-Z,40.5,LEFT-DOWN,68.351,58.6133
Y-Z,40.5,RIGHT-DOWN,291.649,301.3867
Y-Z,40.5,RIGHT-UP,248.351,58.6133
Y-Z,40.5,LEFT-UP,111.649,301.3867
Y-Z,41.0,LEFT-DOWN,68.0446,59.3749
Y-Z,41.0,RIGHT-DOWN,291.9554,300.6251
Y-Z,41.0,RIGHT-UP,248.0446,59.3749
Y-Z,41.0,LEFT-UP,111.9554,300.6251
Y-Z,41.5,LEFT-DOWN,67.7365,60.1381
Y-Z,41.5,RIGHT-DOWN,292.2635,299.8619
Y-Z,41.5,RIGHT-UP,247.7365,60.1381
Y-Z,41.5,LEFT-UP,112.2635,299.8619
Y-Z,42.0,LEFT-DOWN,67.4268,60.903
Y-Z,42.0,RIGHT-DOWN,292.5732,299.097
Y-Z,42.0,RIGHT-UP,247.4268,60.903
Y-Z,42.0,LEFT-UP,112.5732,299.097
Y-Z,42.5,LEFT-DOWN,67.1153,61.6696
Y-Z,42.5,RIGHT-DOWN,292.8847,298.3304
Y-Z,42.5,RIGHT-UP,247.1153,61.6696
Y-Z,42.5,LEFT-UP,112.8847,298.3304
Y-Z,43.0,LEFT-DOWN,66.802,62.4381
Y-Z,43.0,RIGHT-DOWN,293.198,297.5619
Y-Z,43.0,RIGHT-UP,246.802,62.4381
Y-Z,43.0,LEFT-UP,113.198,297.5619
Y-Z,43.5,LEFT-DOWN,66.4868,63.2083
Y-Z,43.5,RIGHT-DOWN,293.5132,296.7917
Y-Z,43.5,RIGHT-UP,246.4868,63.2083
Y-Z,43.5,LEFT-UP,113.5132,296.7917
Y-Z,44.0,LEFT-DOWN,66.1699,63.9803
Y-Z,44.0,RIGHT-DOWN,293.8301,296.0197
Y-Z,44.0,RIGHT-UP,246.1699,63.9803
Y-Z,44.0,LEFT-UP,113.8301,296.0197
Y-Z,44.5,LEFT-DOWN,65.851,64.7543
Y-Z,44.5,RIGHT-DOWN,294.149,295.2457
Y-Z,44.5,RIGHT-UP,245.851,64.7543
Y-Z,44.5,LEFT-UP,114.149,295.2457
Y-Z,45.0,LEFT-DOWN,65.5302,65.5302
Y-Z,45.0,RIGHT-DOWN,294.4698,294.4698
Y-Z,45.0,RIGHT-UP,245.5302,65.5302
Y-Z,45.0,LEFT-UP,114.4698,294.4698
Y-Z,45.5,LEFT-DOWN,65.2074,66.3081
Y-Z,45.5,RIGHT-DOWN,294.7926,293.6919
Y-Z,45.5,RIGHT-UP,245.2074,66.3081
Y-Z,45.5,LEFT-UP,114.7926,293.6919
Y-Z,46.0,LEFT-DOWN,64.8826,67.088
Y-Z,46.0,RIGHT-DOWN,295.1174,292.912
Y-Z,46.0,RIGHT-UP,244.8826,67.088
Y-Z,46.0,LEFT-UP,115.1174,292.912
Y-Z,46.5,LEFT-DOWN,64.5557,67.87
Y-Z,46.5,RIGHT-DOWN,295.4443,292.13
Y-Z,46.5,RIGHT-UP,244.5557,67.87
Y-Z,46.5,LEFT-UP,115.4443,292.13
Y-Z,47.0,LEFT-DOWN,64.2266,68.6541
Y-Z,47.0,RIGHT-DOWN,295.7734,291.3459
Y-Z,47.0,RIGHT-UP,244.2266,68.6541
Y-Z,47.0,LEFT-UP,115.7734,291.3459
Y-Z,47.5,LEFT-DOWN,63.8954,69.4405
Y-Z,47.5,RIGHT-DOWN,296.1046,290.5595
Y-Z,47.5,RIGHT-UP,243.8954,69.4405
Y-Z,47.5,LEFT-UP,116.1046,290.5595
Y-Z,48.0,LEFT-DOWN,63.562,70.229
Y-Z,48.0,RIGHT-DOWN,296.438,289.771
Y-Z,48.0,RIGHT-UP,243.562,70.229
Y-Z,48.0,LEFT-UP,116.438,289.771
Y-Z,48.5,LEFT-DOWN,63.2263,71.0199
Y-Z,48.5,RIGHT-DOWN,296.7737,288.9801
Y-Z,48.5,RIGHT-UP,243.2263,71.0199
Y-Z,48.5,LEFT-UP,116.7737,288.9801
Y-Z,49.0,LEFT-DOWN,62.8883,71.8131
Y-Z,49.0,RIGHT-DOWN,297.1117,288.1869
Y-Z,49.0,RIGHT-UP,242.8883,71.8131
Y-Z,49.0,LEFT-UP,117.1117,288.1869
Y-Z,49.5,LEFT-DOWN,62.5479,72.6087
Y-Z,49.5,RIGHT-DOWN,297.4521,287.3913
Y-Z,49.5,RIGHT-UP,242.5479,72.6087
Y-Z,49.5,LEFT-UP,117.4521,287.3913
Y-Z,50.0,LEFT-DOWN,62.2051,73.4068
Y-Z,50.0,RIGHT-DOWN,297.7949,286.5932
Y-Z,50.0,RIGHT-UP,242.2051,73.4068
Y-Z,50.0,LEFT-UP,117.7949,286.5932
Y-Z,50.5,LEFT-DOWN,61.8598,74.2074
Y-Z,50.5,RIGHT-DOWN,298.1402,285.7926
Y-Z,50.5,RIGHT-UP,241.8598,74.2074
Y-Z,50.5,LEFT-UP,118.1402,285.7926
Y-Z,51.0,LEFT-DOWN,61.5119,75.0106
Y-Z,51.0,RIGHT-DOWN,298.4881,284.9894
Y-Z,51.0,RIGHT-UP,241.5119,75.0106
Y-Z,51.0,LEFT-UP,118.4881,284.9894
Y-Z,51.5,LEFT-DOWN,61.1615,75.8164
Y-Z,51.5,RIGHT-DOWN,298.8385,284.1836
Y-Z,51.5,RIGHT-UP,241.1615,75.8164
Y-Z,51.5,LEFT-UP,118.8385,284.1836
Y-Z,52.0,LEFT-DOWN,60.8083,76.625
Y-Z,52.0,RIGHT-DOWN,299.1917,283.375
Y-Z,52.0,RIGHT-UP,240.8083,76.625
Y-Z,52.0,LEFT-UP,119.1917,283.375
Y-Z,52.5,LEFT-DOWN,60.4525,77.4364
Y-Z,52.5,RIGHT-DOWN,299.5475,282.5636
Y-Z,52.5,RIGHT-UP,240.4525,77.4364
Y-Z,52.5,LEFT-UP,119.5475,282.5636
Y-Z,53.0,LEFT-DOWN,60.0938,78.2507
Y-Z,53.0,RIGHT-DOWN,299.9062,281.7493
Y-Z,53.0,RIGHT-UP,240.0938,78.2507
Y-Z,53.0,LEFT-UP,119.9062,281.7493
Y-Z,53.5,LEFT-DOWN,59.7323,79.0679
Y-Z,53.5,RIGHT-DOWN,300.2677,280.9321
Y-Z,53.5,RIGHT-UP,239.7323,79.0679
Y-Z,53.5,LEFT-UP,120.2677,280.9321
Y-Z,54.0,LEFT-DOWN,59.3678,79.8881
Y-Z,54.0,RIGHT-DOWN,300.6322,280.1119
Y-Z,54.0,RIGHT-UP,239.3678,79.8881
Y-Z,54.0,LEFT-UP,120.6322,280.1119
Y-Z,54.5,LEFT-DOWN,59.0003,80.7115
Y-Z,54.5,RIGHT-DOWN,300.9997,279.2885
Y-Z,54.5,RIGHT-UP,239.0003,80.7115
Y-Z,54.5,LEFT-UP,120.9997,279.2885
Y-Z,55.0,LEFT-DOWN,58.6297,81.538
Y-Z,55.0,RIGHT-DOWN,301.3703,278.462
Y-Z,55.0,RIGHT-UP,238.6297,81.538
Y-Z,55.0,LEFT-UP,121.3703,278.462
Y-Z,55.5,LEFT-DOWN,58.256,82.3679
Y-Z,55.5,RIGHT-DOWN,301.744,277.6321
Y-Z,55.5,RIGHT-UP,238.256,82.3679
Y-Z,55.5,LEFT-UP,121.744,277.6321
Y-Z,56.0,LEFT-DOWN,57.879,83.201
Y-Z,56.0,RIGHT-DOWN,302.121,276.799
Y-Z,56.0,RIGHT-UP,237.879,83.201
Y-Z,56.0,LEFT-UP,122.121,276.799
Y-Z,56.5,LEFT-DOWN,57.4987,84.0377
Y-Z,56.5,RIGHT-DOWN,302.5013,275.9623
Y-Z,56.5,RIGHT-UP,237.4987,84.0377
Y-Z,56.5,LEFT-UP,122.5013,275.9623
Y-Z,57.0,LEFT-DOWN,57.1149,84.8779
Y-Z,57.0,RIGHT-DOWN,302.8851,275.1221
Y-Z,57.0,RIGHT-UP,237.1149,84.8779
Y-Z,57.0,LEFT-UP,122.8851,275.1221
Y-Z,57.5,LEFT-DOWN,56.7277,85.7218
Y-Z,57.5,RIGHT-DOWN,303.2723,274.2782
Y-Z,57.5,RIGHT-UP,236.7277,85.7218
Y-Z,57.5,LEFT-UP,123.2723,274.2782
Y-Z,58.0,LEFT-DOWN,56.3369,86.5695
Y-Z,58.0,RIGHT-DOWN,303.6631,273.4305
Y-Z,58.0,RIGHT-UP,236.3369,86.5695
Y-Z,58.0,LEFT-UP,123.6631,273.4305
Y-Z,58.5,LEFT-DOWN,55.9423,87.421
Y-Z,58.5,RIGHT-DOWN,304.0577,272.579
Y-Z,58.5,RIGHT-UP,235.9423,87.421
Y-Z,58.5,LEFT-UP,124.0577,272.579
Y-Z,59.0,LEFT-DOWN,55.554,88.2765
Y-Z,59.0,RIGHT-DOWN,304.446,271.7235
Y-Z,59.0,RIGHT-UP,235.554,88.2765
Y-Z,59.0,LEFT-UP,124.446,271.7235
Y-Z,59.5,LEFT-DOWN,55.1418,89.1361
Y-Z,59.5,RIGHT-DOWN,304.8582,270.8639
Y-Z,59.5,RIGHT-UP,235.1418,89.1361
Y-Z,59.5,LEFT-UP,124.8582,270.8639
Y-Z,60.0,LEFT-DOWN,54.7356,90.0
Y-Z,60.0,RIGHT-DOWN,305.2644,270.0
Y-Z,60.0,RIGHT-UP,234.7356,90.0
Y-Z,60.0,LEFT-UP,125.2644,270.0
Y-Z,60.5,LEFT-DOWN,54.3253,90.8682
Y-Z,60.5,RIGHT-DOWN,305.6747,269.1318
Y-Z,60.5,RIGHT-UP,234.3253,90.8682
Y-Z,60.5,LEFT-UP,125.6747,269.1318
Y-Z,61.0,LEFT-DOWN,53.9107,91.741
Y-Z,61.0,RIGHT-DOWN,306.0893,268.259
Y-Z,61.0,RIGHT-UP,233.9107,91.741
Y-Z,61.0,LEFT-UP,126.0893,268.259
Y-Z,61.5,LEFT-DOWN,53.4918,92.6183
Y-Z,61.5,RIGHT-DOWN,306.5082,267.3817
Y-Z,61.5,RIGHT-UP,233.4918,92.6183
Y-Z,61.5,LEFT-UP,126.5082,267.3817
Y-Z,62.0,LEFT-DOWN,53.0684,93.5005
Y-Z,62.0,RIGHT-DOWN,306.9316,266.4995
Y-Z,62.0,RIGHT-UP,233.0684,93.5005
Y-Z,62.0,LEFT-UP,126.9316,266.4995
Y-Z,62.5,LEFT-DOWN,52.6404,94.3876
Y-Z,62.5,RIGHT-DOWN,307.3596,265.6124
Y-Z,62.5,RIGHT-UP,232.6404,94.3876
Y-Z,62.5,LEFT-UP,127.3596,265.6124
Y-Z,63.0,LEFT-DOWN,52.2077,95.2798
Y-Z,63.0,RIGHT-DOWN,307.7923,264.7202
Y-Z,63.0,RIGHT-UP,232.2077,95.2798
Y-Z,63.0,LEFT-UP,127.7923,264.7202
Y-Z,63.5,LEFT-DOWN,51.7701,96.1772
Y-Z,63.5,RIGHT-DOWN,308.2299,263.8228
Y-Z,63.5,RIGHT-UP,231.7701,96.1772
Y-Z,63.5,LEFT-UP,128.2299,263.8228
Y-Z,64.0,LEFT-DOWN,51.3274,97.0802
Y-Z,64.0,RIGHT-DOWN,308.6726,262.9198
Y-Z,64.0,RIGHT-UP,231.3274,97.0802
Y-Z,64.0,LEFT-UP,128.6726,262.9198
Y-Z,64.5,LEFT-DOWN,50.8795,97.9887
Y-Z,64.5,RIGHT-DOWN,309.1205,262.0113
Y-Z,64.5,RIGHT-UP,230.8795,97.9887
Y-Z,64.5,LEFT-UP,129.1205,262.0113
Y-Z,65.0,LEFT-DOWN,50.4263,98.9031
Y-Z,65.0,RIGHT-DOWN,309.5737,261.0969
Y-Z,65.0,RIGHT-UP,230.4263,98.9031
Y-Z,65.0,LEFT-UP,129.5737,261.0969
Y-Z,65.5,LEFT-DOWN,49.9675,99.8235
Y-Z,65.5,RIGHT-DOWN,310.0325,260.1765
Y-Z,65.5,RIGHT-UP,229.9675,99.8235
Y-Z,65.5,LEFT-UP,130.0325,260.1765
Y-Z,66.0,LEFT-DOWN,49.503,100.7502
Y-Z,66.0,RIGHT-DOWN,310.497,259.2498
Y-Z,66.0,RIGHT-UP,229.503,100.7502
Y-Z,66.0,LEFT-UP,130.497,259.2498
Y-Z,66.5,LEFT-DOWN,49.0327,101.6833
Y-Z,66.5,RIGHT-DOWN,310.9673,258.3167
Y-Z,66.5,RIGHT-UP,229.0327,101.6833
Y-Z,66.5,LEFT-UP,130.9673,258.3167
Y-Z,67.0,LEFT-DOWN,48.5562,102.6232
Y-Z,67.0,RIGHT-DOWN,311.4438,257.3768
Y-Z,67.0,RIGHT-UP,228.5562,102.6232
Y-Z,67.0,LEFT-UP,131.4438,257.3768
Y-Z,67.5,LEFT-DOWN,48.0734,103.57
Y-Z,67.5,RIGHT-DOWN,311.9266,256.43
Y-Z,67.5,RIGHT-UP,228.0734,103.57
Y-Z,67.5,LEFT-UP,131.9266,256.43
Y-Z,68.0,LEFT-DOWN,47.584,104.5241
Y-Z,68.0,RIGHT-DOWN,312.416,255.4759
Y-Z,68.0,RIGHT-UP,227.584,104.5241
Y-Z,68.0,LEFT-UP,132.416,255.4759
Y-Z,68.5,LEFT-DOWN,47.0879,105.4857
Y-Z,68.5,RIGHT-DOWN,312.9121,254.5143
Y-Z,68.5,RIGHT-UP,227.0879,105.4857
Y-Z,68.5,LEFT-UP,132.9121,254.5143
Y-Z,69.0,LEFT-DOWN,46.5847,106.4551
Y-Z,69.0,RIGHT-DOWN,313.4153,253.5449
Y-Z,69.0,RIGHT-UP,226.5847,106.4551
Y-Z,69.0,LEFT-UP,133.4153,253.5449
Y-Z,69.5,LEFT-DOWN,46.0743,107.4327
Y-Z,69.5,RIGHT-DOWN,313.9257,252.5673
Y-Z,69.5,RIGHT-UP,226.0743,107.4327
Y-Z,69.5,LEFT-UP,133.9257,252.5673
Y-Z,70.0,LEFT-DOWN,45.5563,108.4188
Y-Z,70.0,RIGHT-DOWN,314.4437,251.5812
Y-Z,70.0,RIGHT-UP,225.5563,108.4188
Y-Z,70.0,LEFT-UP,134.4437,251.5812
Y-Z,70.5,LEFT-DOWN,45.0305,109.4137
Y-Z,70.5,RIGHT-DOWN,314.9695,250.5863
Y-Z,70.5,RIGHT-UP,225.0305,109.4137
Y-Z,70.5,LEFT-UP,134.9695,250.5863
Y-Z,71.0,LEFT-DOWN,44.4965,110.4178
Y-Z,71.0,RIGHT-DOWN,315.5035,249.5822
Y-Z,71.0,RIGHT-UP,224.4965,110.4178
Y-Z,71.0,LEFT-UP,135.5035,249.5822
Y-Z,71.5,LEFT-DOWN,43.954,111.4316
Y-Z,71.5,RIGHT-DOWN,316.046,248.5684
Y-Z,71.5,RIGHT-UP,223.954,111.4316
Y-Z,71.5,LEFT-UP,136.046,248.5684
Y-Z,72.0,LEFT-DOWN,43.4027,112.4555
Y-Z,72.0,RIGHT-DOWN,316.5973,247.5445
Y-Z,72.0,RIGHT-UP,223.4027,112.4555
Y-Z,72.0,LEFT-UP,136.5973,247.5445
Y-Z,72.5,LEFT-DOWN,42.8421,113.49
Y-Z,72.5,RIGHT-DOWN,317.1579,246.51
Y-Z,72.5,RIGHT-UP,222.8421,113.49
Y-Z,72.5,LEFT-UP,137.1579,246.51
Y-Z,73.0,LEFT-DOWN,42.2719,114.5355
Y-Z,73.0,RIGHT-DOWN,317.7281,245.4645
Y-Z,73.0,RIGHT-UP,222.2719,114.5355
Y-Z,73.0,LEFT-UP,137.7281,245.4645
Y-Z,73.5,LEFT-DOWN,41.6916,115.5926
Y-Z,73.5,RIGHT-DOWN,318.3084,244.4074
Y-Z,73.5,RIGHT-UP,221.6916,115.5926
Y-Z,73.5,LEFT-UP,138.3084,244.4074
Y-Z,74.0,LEFT-DOWN,41.1008,116.6619
Y-Z,74.0,RIGHT-DOWN,318.8992,243.3381
Y-Z,74.0,RIGHT-UP,221.1008,116.6619
Y-Z,74.0,LEFT-UP,138.8992,243.3381
Y-Z,74.5,LEFT-DOWN,40.499,117.7441
Y-Z,74.5,RIGHT-DOWN,319.501,242.2559
Y-Z,74.5,RIGHT-UP,220.499,117.7441
Y-Z,74.5,LEFT-UP,139.501,242.2559
Y-Z,75.0,LEFT-DOWN,39.8855,118.8398
Y-Z,75.0,RIGHT-DOWN,320.1145,241.1602
Y-Z,75.0,RIGHT-UP,219.8855,118.8398
Y-Z,75.0,LEFT-UP,140.1145,241.1602
Y-Z,75.5,LEFT-DOWN,39.26,119.9497
Y-Z,75.5,RIGHT-DOWN,320.74,240.0503
Y-Z,75.5,RIGHT-UP,219.26,119.9497
Y-Z,75.5,LEFT-UP,140.74,240.0503
Y-Z,76.0,LEFT-DOWN,38.6216,121.0748
Y-Z,76.0,RIGHT-DOWN,321.3784,238.9252
Y-Z,76.0,RIGHT-UP,218.6216,121.0748
Y-Z,76.0,LEFT-UP,141.3784,238.9252
Y-Z,76.5,LEFT-DOWN,37.9697,122.2158
Y-Z,76.5,RIGHT-DOWN,322.0303,237.7842
Y-Z,76.5,RIGHT-UP,217.9697,122.2158
Y-Z,76.5,LEFT-UP,142.0303,237.7842
Y-Z,77.0,LEFT-DOWN,37.3036,123.3737
Y-Z,77.0,RIGHT-DOWN,322.6964,236.6263
Y-Z,77.0,RIGHT-UP,217.3036,123.3737
Y-Z,77.0,LEFT-UP,142.6964,236.6263
Y-Z,77.5,LEFT-DOWN,36.6223,124.5497
Y-Z,77.5,RIGHT-DOWN,323.3777,235.4503
Y-Z,77.5,RIGHT-UP,216.6223,124.5497
Y-Z,77.5,LEFT-UP,143.3777,235.4503
Y-Z,78.0,LEFT-DOWN,35.9252,125.7448
Y-Z,78.0,RIGHT-DOWN,324.0748,234.2552
Y-Z,78.0,RIGHT-UP,215.9252,125.7448
Y-Z,78.0,LEFT-UP,144.0748,234.2552
Y-Z,78.5,LEFT-DOWN,35.211,126.9605
Y-Z,78.5,RIGHT-DOWN,324.789,233.0395
Y-Z,78.5,RIGHT-UP,215.211,126.9605
Y-Z,78.5,LEFT-UP,144.789,233.0395
Y-Z,79.0,LEFT-DOWN,34.4787,128.1981
Y-Z,79.0,RIGHT-DOWN,325.5213,231.8019
Y-Z,79.0,RIGHT-UP,214.4787,128.1981
Y-Z,79.0,LEFT-UP,145.5213,231.8019
Y-Z,79.5,LEFT-DOWN,33.7271,129.4592
Y-Z,79.5,RIGHT-DOWN,326.2729,230.5408
Y-Z,79.5,RIGHT-UP,213.7271,129.4592
Y-Z,79.5,LEFT-UP,146.2729,230.5408
Y-Z,80.0,LEFT-DOWN,32.9548,130.7458
Y-Z,80.0,RIGHT-DOWN,327.0452,229.2542
Y-Z,80.0,RIGHT-UP,212.9548,130.7458
Y-Z,80.0,LEFT-UP,147.0452,229.2542
Y-Z,80.5,LEFT-DOWN,32.1603,132.0597
Y-Z,80.5,RIGHT-DOWN,327.8397,227.9403
Y-Z,80.5,RIGHT-UP,212.1603,132.0597
Y-Z,80.5,LEFT-UP,147.8397,227.9403
Y-Z,81.0,LEFT-DOWN,31.3417,133.4034
Y-Z,81.0,RIGHT-DOWN,328.6583,226.5966
Y-Z,81.0,RIGHT-UP,211.3417,133.4034
Y-Z,81.0,LEFT-UP,148.6583,226.5966
Y-Z,81.5,LEFT-DOWN,30.4971,134.7796
Y-Z,81.5,RIGHT-DOWN,329.5029,225.2204
Y-Z,81.5,RIGHT-UP,210.4971,134.7796
Y-Z,81.5,LEFT-UP,149.5029,225.2204
Y-Z,82.0,LEFT-DOWN,29.6241,136.1912
Y-Z,82.0,RIGHT-DOWN,330.3759,223.8088
Y-Z,82.0,RIGHT-UP,209.6241,136.1912
Y-Z,82.0,LEFT-UP,150.3759,223.8088
Y-Z,82.5,LEFT-DOWN,28.7202,137.6418
Y-Z,82.5,RIGHT-DOWN,331.2798,222.3582
Y-Z,82.5,RIGHT-UP,208.7202,137.6418
Y-Z,82.5,LEFT-UP,151.2798,222.3582
Y-Z,83.0,LEFT-DOWN,27.7823,139.1357
Y-Z,83.0,RIGHT-DOWN,332.2177,220.8643
Y-Z,83.0,RIGHT-UP,207.7823,139.1357
Y-Z,83.0,LEFT-UP,152.2177,220.8643
Y-Z,83.5,LEFT-DOWN,26.8066,140.6777
Y-Z,83.5,RIGHT-DOWN,333.1934,219.3223
Y-Z,83.5,RIGHT-UP,206.8066,140.6777
Y-Z,83.5,LEFT-UP,153.1934,219.3223
Y-Z,84.0,LEFT-DOWN,25.7888,142.2737
Y-Z,84.0,RIGHT-DOWN,334.2112,217.7263
Y-Z,84.0,RIGHT-UP,205.7888,142.2737
Y-Z,84.0,LEFT-UP,154.2112,217.7263
Y-Z,84.5,LEFT-DOWN,24.7236,143.931
Y-Z,84.5,RIGHT-DOWN,335.2764,216.069
Y-Z,84.5,RIGHT-UP,204.7236,143.931
Y-Z,84.5,LEFT-UP,155.2764,216.069
Y-Z,85.0,LEFT-DOWN,23.6045,145.6584
Y-Z,85.0,RIGHT-DOWN,336.3955,214.3416
Y-Z,85.0,RIGHT-UP,203.6045,145.6584
Y-Z,85.0,LEFT-UP,156.3955,214.3416
Y-Z,85.5,LEFT-DOWN,22.4234,147.467
Y-Z,85.5,RIGHT-DOWN,337.5766,212.533
Y-Z,85.5,RIGHT-UP,202.4234,147.467
Y-Z,85.5,LEFT-UP,157.5766,212.533
Y-Z,86.0,LEFT-DOWN,21.1697,149.3713
Y-Z,86.0,RIGHT-DOWN,338.8303,210.6287
Y-Z,86.0,RIGHT-UP,201.1697,149.3713
Y-Z,86.0,LEFT-UP,158.8303,210.6287
Y-Z,86.5,LEFT-DOWN,19.8295,151.3904
Y-Z,86.5,RIGHT-DOWN,340.1705,208.6096
Y-Z,86.5,RIGHT-UP,199.8295,151.3904
Y-Z,86.5,LEFT-UP,160.1705,208.6096
Y-Z,87.0,LEFT-DOWN,18.3839,153.5506
Y-Z,87.0,RIGHT-DOWN,341.6161,206.4494
Y-Z,87.0,RIGHT-UP,198.3839,153.5506
Y-Z,87.0,LEFT-UP,161.6161,206.4494
Y-Z,87.5,LEFT-DOWN,16.8055,155.8898
Y-Z,87.5,RIGHT-DOWN,343.1945,204.1102
Y-Z,87.5,RIGHT-UP,196.8055,155.8898
Y-Z,87.5,LEFT-UP,163.1945,204.1102
Y-Z,88.0,LEFT-DOWN,15.0524,158.4662
Y-Z,88.0,RIGHT-DOWN,344.9476,201.5338
Y-Z,88.0,RIGHT-UP,195.0524,158.4662
Y-Z,88.0,LEFT-UP,164.9476,201.5338
Y-Z,88.5,LEFT-DOWN,13.0542,161.378
Y-Z,88.5,RIGHT-DOWN,346.9458,198.622
Y-Z,88.5,RIGHT-UP,193.0542,161.378
Y-Z,88.5,LEFT-UP,166.9458,198.622
Y-Z,89.0,LEFT-DOWN,10.6739,164.8172
Y-Z,89.0,RIGHT-DOWN,349.3261,195.1828
Y-Z,89.0,RIGHT-UP,190.6739,164.8172
Y-Z,89.0,LEFT-UP,169.3261,195.1828
Y-Z,89.5,LEFT-DOWN,7.5584,169.2797
Y-Z,89.5,RIGHT-DOWN,352.4416,190.7203
Y-Z,89.5,RIGHT-UP,187.5584,169.2797
Y-Z,89.5,LEFT-UP,172.4416,190.7203
Y-Z,90.0,LEFT-DOWN,0.0,180.0
Y-Z,90.0,RIGHT-DOWN,0.0,180.0
Y-Z,90.0,RIGHT-UP,180.0,180.0
Y-Z,90.0,LEFT-UP,180.0,180.0
