plane,angle,orientation,neck_C,head_A
X-Z,18.0,LEFT-DOWN,9.1131,334.4372
X-Z,18.0,LEFT-UP,170.8869,25.5628
X-Z,18.0,RIGHT-UP,189.1131,334.4372
X-Z,18.5,RIGHT-DOWN,350.627,26.2792
X-Z,18.5,LEFT-DOWN,9.373,333.7208
X-Z,18.5,LEFT-UP,170.627,26.2792
X-Z,18.5,RIGHT-UP,189.373,333.7208
X-Z,19.0,RIGHT-DOWN,350.3667,26.9961
X-Z,19.0,LEFT-DOWN,9.6333,333.0039
X-Z,19.0,LEFT-UP,170.3667,26.9961
X-Z,19.0,RIGHT-UP,189.6333,333.0039
X-Z,19.5,RIGHT-DOWN,350.1057,27.7136
X-Z,19.5,LEFT-DOWN,9.8943,332.2864
X-Z,19.5,LEFT-UP,170.1057,27.7136
X-Z,19.5,RIGHT-UP,189.8943,332.2864
X-Z,20.0,RIGHT-DOWN,349.8441,28.4317
X-Z,20.0,LEFT-DOWN,10.1559,331.5683
X-Z,20.0,LEFT-UP,169.8441,28.4317
X-Z,20.0,RIGHT-UP,190.1559,331.5683
X-Z,20.5,RIGHT-DOWN,349.5819,29.1504
X-Z,20.5,LEFT-DOWN,10.4181,330.8496
X-Z,20.5,LEFT-UP,169.5819,29.1504
X-Z,20.5,RIGHT-UP,190.4181,330.8496
X-Z,21.0,RIGHT-DOWN,349.3191,29.8696
X-Z,21.0,LEFT-DOWN,10.6809,330.1304
X-Z,21.0,LEFT-UP,169.3191,29.8696
X-Z,21.0,RIGHT-UP,190.6809,330.1304
X-Z,21.5,RIGHT-DOWN,349.0556,30.5895
X-Z,21.5,LEFT-DOWN,10.9444,329.4105
X-Z,21.5,LEFT-UP,169.0556,30.5895
X-Z,21.5,RIGHT-UP,190.9444,329.4105
X-Z,22.0,RIGHT-DOWN,348.7915,31.31
X-Z,22.0,LEFT-DOWN,11.2085,328.69
X-Z,22.0,LEFT-UP,168.7915,31.31
X-Z,22.0,RIGHT-UP,191.2085,328.69
X-Z,22.5,RIGHT-DOWN,348.5266,32.0312
X-Z,22.5,LEFT-DOWN,11.4734,327.9688
X-Z,22.5,LEFT-UP,168.5266,32.0312
X-Z,22.5,RIGHT-UP,191.4734,327.9688
X-Z,23.0,RIGHT-DOWN,348.2611,32.7531
X-Z,23.0,LEFT-DOWN,11.7389,327.2469
X-Z,23.0,LEFT-UP,168.2611,32.7531
X-Z,23.0,RIGHT-UP,191.7389,327.2469
X-Z,23.5,RIGHT-DOWN,347.9948,33.4757
X-Z,23.5,LEFT-DOWN,12.0052,326.5243
X-Z,23.5,LEFT-UP,167.9948,33.4757
X-Z,23.5,RIGHT-UP,192.0052,326.5243
X-Z,24.0,RIGHT-DOWN,347.7278,34.1989
X-Z,24.0,LEFT-DOWN,12.2722,325.8011
X-Z,24.0,LEFT-UP,167.7278,34.1989
X-Z,24.0,RIGHT-UP,192.2722,325.8011
X-Z,24.5,RIGHT-DOWN,347.46,34.923
X-Z,24.5,LEFT-DOWN,12.54,325.077
X-Z,24.5,LEFT-UP,167.46,34.923
X-Z,24.5,RIGHT-UP,192.54,325.077
X-Z,25.0,RIGHT-DOWN,347.1914,35.6477
X-Z,25.0,LEFT-DOWN,12.8086,324.3523
X-Z,25.0,LEFT-UP,167.1914,35.6477
X-Z,25.0,RIGHT-UP,192.8086,324.3523
X-Z,25.5,RIGHT-DOWN,346.922,36.3733
X-Z,25.5,LEFT-DOWN,13.078,323.6267
X-Z,25.5,LEFT-UP,166.922,36.3733
X-Z,25.5,RIGHT-UP,193.078,323.6267
X-Z,26.0,RIGHT-DOWN,346.6518,37.0996
X-Z,26.0,LEFT-DOWN,13.3482,322.9004
X-Z,26.0,LEFT-UP,166.6518,37.0996
X-Z,26.0,RIGHT-UP,193.3482,322.9004
X-Z,26.5,RIGHT-DOWN,346.3807,37.8268
X-Z,26.5,LEFT-DOWN,13.6193,322.1732
X-Z,26.5,LEFT-UP,166.3807,37.8268
X-Z,26.5,RIGHT-UP,193.6193,322.1732
X-Z,27.0,RIGHT-DOWN,346.1088,38.5547
X-Z,27.0,LEFT-DOWN,13.8912,321.4453
X-Z,27.0,LEFT-UP,166.1088,38.5547
X-Z,27.0,RIGHT-UP,193.8912,321.4453
X-Z,27.5,RIGHT-DOWN,345.836,39.2836
X-Z,27.5,LEFT-DOWN,14.164,320.7164
X-Z,27.5,LEFT-UP,165.836,39.2836
X-Z,27.5,RIGHT-UP,194.164,320.7164
X-Z,28.0,RIGHT-DOWN,345.5622,40.0133
X-Z,28.0,LEFT-DOWN,14.4378,319.9867
X-Z,28.0,LEFT-UP,165.5622,40.0133
X-Z,28.0,RIGHT-UP,194.4378,319.9867
X-Z,28.5,RIGHT-DOWN,345.2876,40.7439
X-Z,28.5,LEFT-DOWN,14.7124,319.2561
X-Z,28.5,LEFT-UP,165.2876,40.7439
X-Z,28.5,RIGHT-UP,194.7124,319.2561
X-Z,29.0,RIGHT-DOWN,345.0119,41.4755
X-Z,29.0,LEFT-DOWN,14.9881,318.5245
X-Z,29.0,LEFT-UP,165.0119,41.4755
X-Z,29.0,RIGHT-UP,194.9881,318.5245
X-Z,29.5,RIGHT-DOWN,344.7353,42.2079
X-Z,29.5,LEFT-DOWN,15.2647,317.7921
X-Z,29.5,LEFT-UP,164.7353,42.2079
X-Z,29.5,RIGHT-UP,195.2647,317.7921
X-Z,30.0,RIGHT-DOWN,344.4577,42.9414
X-Z,30.0,LEFT-DOWN,15.5423,317.0586
X-Z,30.0,LEFT-UP,164.4577,42.9414
X-Z,30.0,RIGHT-UP,195.5423,317.0586
X-Z,30.5,RIGHT-DOWN,344.1791,43.6758
X-Z,30.5,LEFT-DOWN,15.8209,316.3242
X-Z,30.5,LEFT-UP,164.1791,43.6758
X-Z,30.5,RIGHT-UP,195.8209,316.3242
X-Z,31.0,RIGHT-DOWN,343.8994,44.4113
X-Z,31.0,LEFT-DOWN,16.1006,315.5887
X-Z,31.0,LEFT-UP,163.8994,44.4113
X-Z,31.0,RIGHT-UP,196.1006,315.5887
X-Z,31.5,RIGHT-DOWN,343.6187,45.1478
X-Z,31.5,LEFT-DOWN,16.3813,314.8522
X-Z,31.5,LEFT-UP,163.6187,45.1478
X-Z,31.5,RIGHT-UP,196.3813,314.8522
X-Z,32.0,RIGHT-DOWN,343.3368,45.8854
X-Z,32.0,LEFT-DOWN,16.6632,314.1146
X-Z,32.0,LEFT-UP,163.3368,45.8854
X-Z,32.0,RIGHT-UP,196.6632,314.1146
X-Z,32.5,RIGHT-DOWN,343.0538,46.624
X-Z,32.5,LEFT-DOWN,16.9462,313.376
X-Z,32.5,LEFT-UP,163.0538,46.624
X-Z,32.5,RIGHT-UP,196.9462,313.376
X-Z,33.0,RIGHT-DOWN,342.7697,47.3638
X-Z,33.0,LEFT-DOWN,17.2303,312.6362
X-Z,33.0,LEFT-UP,162.7697,47.3638
X-Z,33.0,RIGHT-UP,197.2303,312.6362
X-Z,33.5,RIGHT-DOWN,342.4844,48.1047
X-Z,33.5,LEFT-DOWN,17.5156,311.8953
X-Z,33.5,LEFT-UP,162.4844,48.1047
X-Z,33.5,RIGHT-UP,197.5156,311.8953
X-Z,34.0,RIGHT-DOWN,342.1979,48.8468
X-Z,34.0,LEFT-DOWN,17.8021,311.1532
X-Z,34.0,LEFT-UP,162.1979,48.8468
X-Z,34.0,RIGHT-UP,197.8021,311.1532
X-Z,34.5,RIGHT-DOWN,341.9101,49.59
X-Z,34.5,LEFT-DOWN,18.0899,310.41
X-Z,34.5,LEFT-UP,161.9101,49.59
X-Z,34.5,RIGHT-UP,198.0899,310.41
X-Z,35.0,RIGHT-DOWN,341.6211,50.3345
X-Z,35.0,LEFT-DOWN,18.3789,309.6655
X-Z,35.0,LEFT-UP,161.6211,50.3345
X-Z,35.0,RIGHT-UP,198.3789,309.6655
X-Z,35.5,RIGHT-DOWN,341.3309,51.0803
X-Z,35.5,LEFT-DOWN,18.6691,308.9197
X-Z,35.5,LEFT-UP,161.3309,51.0803
X-Z,35.5,RIGHT-UP,198.6691,308.9197
X-Z,36.0,RIGHT-DOWN,341.0393,51.8273
X-Z,36.0,LEFT-DOWN,18.9607,308.1727
X-Z,36.0,LEFT-UP,161.0393,51.8273
X-Z,36.0,RIGHT-UP,198.9607,308.1727
X-Z,36.5,RIGHT-DOWN,340.7464,52.5756
X-Z,36.5,LEFT-DOWN,19.2536,307.4244
X-Z,36.5,LEFT-UP,160.7464,52.5756
X-Z,36.5,RIGHT-UP,199.2536,307.4244
X-Z,37.0,RIGHT-DOWN,340.4521,53.3253
X-Z,37.0,LEFT-DOWN,19.5479,306.6747
X-Z,37.0,LEFT-UP,160.4521,53.3253
X-Z,37.0,RIGHT-UP,199.5479,306.6747
X-Z,37.5,RIGHT-DOWN,340.1564,54.0763
X-Z,37.5,LEFT-DOWN,19.8436,305.9237
X-Z,37.5,LEFT-UP,160.1564,54.0763
X-Z,37.5,RIGHT-UP,199.8436,305.9237
X-Z,38.0,RIGHT-DOWN,339.8592,54.8288
X-Z,38.0,LEFT-DOWN,20.1408,305.1712
X-Z,38.0,LEFT-UP,159.8592,54.8288
X-Z,38.0,RIGHT-UP,200.1408,305.1712
X-Z,38.5,RIGHT-DOWN,339.5607,55.5827
X-Z,38.5,LEFT-DOWN,20.4393,304.4173
X-Z,38.5,LEFT-UP,159.5607,55.5827
X-Z,38.5,RIGHT-UP,200.4393,304.4173
X-Z,39.0,RIGHT-DOWN,339.2606,56.338
X-Z,39.0,LEFT-DOWN,20.7394,303.662
X-Z,39.0,LEFT-UP,159.2606,56.338
X-Z,39.0,RIGHT-UP,200.7394,303.662
X-Z,39.5,RIGHT-DOWN,338.959,57.0949
X-Z,39.5,LEFT-DOWN,21.041,302.9051
X-Z,39.5,LEFT-UP,158.959,57.0949
X-Z,39.5,RIGHT-UP,201.041,302.9051
X-Z,40.0,RIGHT-DOWN,338.6558,57.8533
X-Z,40.0,LEFT-DOWN,21.3442,302.1467
X-Z,40.0,LEFT-UP,158.6558,57.8533
X-Z,40.0,RIGHT-UP,201.3442,302.1467
X-Z,40.5,RIGHT-DOWN,338.351,58.6133
X-Z,40.5,LEFT-DOWN,21.649,301.3867
X-Z,40.5,LEFT-UP,158.351,58.6133
X-Z,40.5,RIGHT-UP,201.649,301.3867
X-Z,41.0,RIGHT-DOWN,338.0446,59.3749
X-Z,41.0,LEFT-DOWN,21.9554,300.6251
X-Z,41.0,LEFT-UP,158.0446,59.3749
X-Z,41.0,RIGHT-UP,201.9554,300.6251
X-Z,41.5,RIGHT-DOWN,337.7365,60.1381
X-Z,41.5,LEFT-DOWN,22.2635,299.8619
X-Z,41.5,LEFT-UP,157.7365,60.1381
X-Z,41.5,RIGHT-UP,202.2635,299.8619
X-Z,42.0,RIGHT-DOWN,337.4268,60.903
X-Z,42.0,LEFT-DOWN,22.5732,299.097
X-Z,42.0,LEFT-UP,157.4268,60.903
X-Z,42.0,RIGHT-UP,202.5732,299.097
X-Z,42.5,RIGHT-DOWN,337.1153,61.6696
X-Z,42.5,LEFT-DOWN,22.8847,298.3304
X-Z,42.5,LEFT-UP,157.1153,61.6696
X-Z,42.5,RIGHT-UP,202.8847,298.3304
X-Z,43.0,RIGHT-DOWN,336.802,62.4381
X-Z,43.0,LEFT-DOWN,23.198,297.5619
X-Z,43.0,LEFT-UP,156.802,62.4381
X-Z,43.0,RIGHT-UP,203.198,297.5619
X-Z,43.5,RIGHT-DOWN,336.4868,63.2083
X-Z,43.5,LEFT-DOWN,23.5132,296.7917
X-Z,43.5,LEFT-UP,156.4868,63.2083
X-Z,43.5,RIGHT-UP,203.5132,296.7917
X-Z,44.0,RIGHT-DOWN,336.1699,63.9803
X-Z,44.0,LEFT-DOWN,23.8301,296.0197
X-Z,44.0,LEFT-UP,156.1699,63.9803
X-Z,44.0,RIGHT-UP,203.8301,296.0197
X-Z,44.5,RIGHT-DOWN,335.851,64.7543
X-Z,44.5,LEFT-DOWN,24.149,295.2457
X-Z,44.5,LEFT-UP,155.851,64.7543
X-Z,44.5,RIGHT-UP,204.149,295.2457
X-Z,45.0,RIGHT-DOWN,335.5302,65.5302
X-Z,45.0,LEFT-DOWN,24.4698,294.4698
X-Z,45.0,LEFT-UP,155.5302,65.5302
X-Z,45.0,RIGHT-UP,204.4698,294.4698
X-Z,45.5,RIGHT-DOWN,335.2074,66.3081
X-Z,45.5,LEFT-DOWN,24.7926,293.6919
X-Z,45.5,LEFT-UP,155.2074,66.3081
X-Z,45.5,RIGHT-UP,204.7926,293.6919
X-Z,46.0,RIGHT-DOWN,334.8826,67.088
X-Z,46.0,LEFT-DOWN,25.1174,292.912
X-Z,46.0,LEFT-UP,154.8826,67.088
X-Z,46.0,RIGHT-UP,205.1174,292.912
X-Z,46.5,RIGHT-DOWN,334.5557,67.87
X-Z,46.5,LEFT-DOWN,25.4443,292.13
X-Z,46.5,LEFT-UP,154.5557,67.87
X-Z,46.5,RIGHT-UP,205.4443,292.13
X-Z,47.0,RIGHT-DOWN,334.2266,68.6541
X-Z,47.0,LEFT-DOWN,25.7734,291.3459
X-Z,47.0,LEFT-UP,154.2266,68.6541
X-Z,47.0,RIGHT-UP,205.7734,291.3459
X-Z,47.5,RIGHT-DOWN,333.8954,69.4405
X-Z,47.5,LEFT-DOWN,26.1046,290.5595
X-Z,47.5,LEFT-UP,153.8954,69.4405
X-Z,47.5,RIGHT-UP,206.1046,290.5595
X-Z,48.0,RIGHT-DOWN,333.562,70.229
X-Z,48.0,LEFT-DOWN,26.438,289.771
X-Z,48.0,LEFT-UP,153.562,70.229
X-Z,48.0,RIGHT-UP,206.438,289.771
X-Z,48.5,RIGHT-DOWN,333.2263,71.0199
X-Z,48.5,LEFT-DOWN,26.7737,288.9801
X-Z,48.5,LEFT-UP,153.2263,71.0199
X-Z,48.5,RIGHT-UP,206.7737,288.9801
X-Z,49.0,RIGHT-DOWN,332.8883,71.8131
X-Z,49.0,LEFT-DOWN,27.1117,288.1869
X-Z,49.0,LEFT-UP,152.8883,71.8131
X-Z,49.0,RIGHT-UP,207.1117,288.1869
X-Z,49.5,RIGHT-DOWN,332.5479,72.6087
X-Z,49.5,LEFT-DOWN,27.4521,287.3913
X-Z,49.5,LEFT-UP,152.5479,72.6087
X-Z,49.5,RIGHT-UP,207.4521,287.3913
X-Z,50.0,RIGHT-DOWN,332.2051,73.4068
X-Z,50.0,LEFT-DOWN,27.7949,286.5932
X-Z,50.0,LEFT-UP,152.2051,73.4068
X-Z,50.0,RIGHT-UP,207.7949,286.5932
X-Z,50.5,RIGHT-DOWN,331.8598,74.2074
X-Z,50.5,LEFT-DOWN,28.1402,285.7926
X-Z,50.5,LEFT-UP,151.8598,74.2074
X-Z,50.5,RIGHT-UP,208.1402,285.7926
X-Z,51.0,RIGHT-DOWN,331.5119,75.0106
X-Z,51.0,LEFT-DOWN,28.4881,284.9894
X-Z,51.0,LEFT-UP,151.5119,75.0106
X-Z,51.0,RIGHT-UP,208.4881,284.9894
X-Z,51.5,RIGHT-DOWN,331.1615,75.8164
X-Z,51.5,LEFT-DOWN,28.8385,284.1836
X-Z,51.5,LEFT-UP,151.1615,75.8164
X-Z,51.5,RIGHT-UP,208.8385,284.1836
X-Z,52.0,RIGHT-DOWN,330.8083,76.625
X-Z,52.0,LEFT-DOWN,29.1917,283.375
X-Z,52.0,LEFT-UP,150.8083,76.625
X-Z,52.0,RIGHT-UP,209.1917,283.375
X-Z,52.5,RIGHT-DOWN,330.4525,77.4364
X-Z,52.5,LEFT-DOWN,29.5475,282.5636
X-Z,52.5,LEFT-UP,150.4525,77.4364
X-Z,52.5,RIGHT-UP,209.5475,282.5636
X-Z,53.0,RIGHT-DOWN,330.0938,78.2507
X-Z,53.0,LEFT-DOWN,29.9062,281.7493
X-Z,53.0,LEFT-UP,150.0938,78.2507
X-Z,53.0,RIGHT-UP,209.9062,281.7493
X-Z,53.5,RIGHT-DOWN,329.7323,79.0679
X-Z,53.5,LEFT-DOWN,30.2677,280.9321
X-Z,53.5,LEFT-UP,149.7323,79.0679
X-Z,53.5,RIGHT-UP,210.2677,280.9321
X-Z,54.0,RIGHT-DOWN,329.3678,79.8881
X-Z,54.0,LEFT-DOWN,30.6322,280.1119
X-Z,54.0,LEFT-UP,149.3678,79.8881
X-Z,54.0,RIGHT-UP,210.6322,280.1119
X-Z,54.5,RIGHT-DOWN,329.0003,80.7115
X-Z,54.5,LEFT-DOWN,30.9997,279.2885
X-Z,54.5,LEFT-UP,149.0003,80.7115
X-Z,54.5,RIGHT-UP,210.9997,279.2885
X-Z,55.0,RIGHT-DOWN,328.6297,81.538
X-Z,55.0,LEFT-DOWN,31.3703,278.462
X-Z,55.0,LEFT-UP,148.6297,81.538
X-Z,55.0,RIGHT-UP,211.3703,278.462
X-Z,55.5,RIGHT-DOWN,328.256,82.3679
X-Z,55.5,LEFT-DOWN,31.744,277.6321
X-Z,55.5,LEFT-UP,148.256,82.3679
X-Z,55.5,RIGHT-UP,211.744,277.6321
X-Z,56.0,RIGHT-DOWN,327.879,83.201
X-Z,56.0,LEFT-DOWN,32.121,276.799
X-Z,56.0,LEFT-UP,147.879,83.201
X-Z,56.0,RIGHT-UP,212.121,276.799
X-Z,56.5,RIGHT-DOWN,327.4987,84.0377
X-Z,56.5,LEFT-DOWN,32.5013,275.9623
X-Z,56.5,LEFT-UP,147.4987,84.0377
X-Z,56.5,RIGHT-UP,212.5013,275.9623
X-Z,57.0,RIGHT-DOWN,327.1149,84.8779
X-Z,57.0,LEFT-DOWN,32.8851,275.1221
X-Z,57.0,LEFT-UP,147.1149,84.8779
X-Z,57.0,RIGHT-UP,212.8851,275.1221
X-Z,57.5,RIGHT-DOWN,326.7277,85.7218
X-Z,57.5,LEFT-DOWN,33.2723,274.2782
X-Z,57.5,LEFT-UP,146.7277,85.7218
X-Z,57.5,RIGHT-UP,213.2723,274.2782
X-Z,58.0,RIGHT-DOWN,326.3369,86.5695
X-Z,58.0,LEFT-DOWN,33.6631,273.4305
X-Z,58.0,LEFT-UP,146.3369,86.5695
X-Z,58.0,RIGHT-UP,213.6631,273.4305
X-Z,58.5,RIGHT-DOWN,325.9423,87.421
X-Z,58.5,LEFT-DOWN,34.0577,272.579
X-Z,58.5,LEFT-UP,145.9423,87.421
X-Z,58.5,RIGHT-UP,214.0577,272.579
X-Z,59.0,RIGHT-DOWN,325.554,88.2765
X-Z,59.0,LEFT-DOWN,34.446,271.7235
X-Z,59.0,LEFT-UP,145.554,88.2765
X-Z,59.0,RIGHT-UP,214.446,271.7235
X-Z,59.5,RIGHT-DOWN,325.1418,89.1361
X-Z,59.5,LEFT-DOWN,34.8582,270.8639
X-Z,59.5,LEFT-UP,145.1418,89.1361
X-Z,59.5,RIGHT-UP,214.8582,270.8639
X-Z,60.0,RIGHT-DOWN,324.7356,90.0
X-Z,60.0,LEFT-DOWN,35.2644,270.0
X-Z,60.0,LEFT-UP,144.7356,90.0
X-Z,60.0,RIGHT-UP,215.2644,270.0
X-Z,60.5,RIGHT-DOWN,324.3253,90.8682
X-Z,60.5,LEFT-DOWN,35.6747,269.1318
X-Z,60.5,LEFT-UP,144.3253,90.8682
X-Z,60.5,RIGHT-UP,215.6747,269.1318
X-Z,61.0,RIGHT-DOWN,323.9107,91.741
X-Z,61.0,LEFT-DOWN,36.0893,268.259
X-Z,61.0,LEFT-UP,143.9107,91.741
X-Z,61.0,RIGHT-UP,216.0893,268.259
X-Z,61.5,RIGHT-DOWN,323.4918,92.6183
